Адрес,Широта,Долгота
"ул. Прокатная, д. 2",61.3924495,55.2420675
"ул. Профсоюзная, д. 27, к. 1",0.0,0.0
"ул. Профсоюзная, д. 104",39.6553941,47.2230748
"ш. Пятницкое, д. 21, к. 1",0.0,0.0
"пр-д Рижский, д. 11",0.0,0.0
"ул. Рогожский вал, д. 3",37.6763655,55.7426801
"проезд Россошанский, д. 8, к. 1",0.0,0.0
"ул. Руставели, д. 8, к. 1",0.0,0.0
"пр. Рязанский, д. 75, к. 1",0.0,0.0
"б-р Северный, д. 10",0.0,0.0
"ул. Семёна Гордого, д. 3",37.1498946,55.548614
"б-р Скандинавский, д. 1, стр. 4",0.0,0.0
"ул. Складочная, д. 1, стр. 13",0.0,0.0
"пл. Сокольническая, д. 4, к. 1-2",0.0,0.0
"ул. Сущевский вал, д. 9",37.6150479,55.7930493
"ул. Тайнинская, д. 20",37.6810699,55.8773899
"ул. Талалихина, д. 3",38.97822,45.0836121
"ул. Твардовского, д. 2, к. 1",40.2412719,47.7042339
"б-р Тихорецкий , д. 12, корп. 1",0.0,0.0
"ул. Тушинская, д. 17",31.7043646,59.1340879
"ул. Уральская, д. 3",76.9784089,43.2838233
"ул. Усачева, д. 35, стр. 1",0.0,0.0
"ул. Уссурийская, д. 1, к. 1",0.0,0.0
"б-р Филевский, д. 10",0.0,0.0
"ул. Хабаровская, д. 12/23",0.0,0.0
"ул. Халтуринская, д. 18",37.7290411,55.798654
"ул. Харьковская, д. 2",76.9552244,43.3540091
"ул. Хачатуряна, д. 7",37.6054665,55.8638012
"ул. Хлобыстова, д. 20, корп. 1",0.0,0.0
"ш. Хорошевское, д. 38, стр. 5",0.0,0.0
"ул. Хромова, д. 3",37.7224101,55.800703
"ул. Часовая, д. 13",39.5278575,43.7588933
"б-р Чонгарский, д. 7",0.0,0.0
"ул. Чусовская, д. 13",59.5822897,57.0102632
"наб. Шелепихинская, д. 42",37.5180784,55.7565564
"ул. Шипиловская, д. 1",37.700847,55.6175447
"ул. Широкая, д. 31, корп. 5",0.0,0.0
"ул. Широкая, д. 12Б",69.2914816,53.3126851
"ш. Щелковское, д. 27 А",0.0,0.0
"ш. Щёлковское, д. 92, к. 8",0.0,0.0
"ул. Юных Ленинцев, д. 52",39.7600057,46.1437112
"б-р Яна Райниса, д. 18, к. 1",0.0,0.0
"б-р Яна Райниса, д. 41",0.0,0.0
"ш. Ярославское, д. 54",37.7150342,55.8737634
"пр-д Ясный, д. 13, стр. 2",0.0,0.0
"г. Апрелевка, ул. Августовская, д. 14",0.0,0.0
"г. Апрелевка, ул. Некрасова, д. 27, к. 1",0.0,0.0
"г. Балашиха, ул. 40 лет Победы, д. 1",0.0,0.0
"г. Балашиха, д. Федурново, ул. Авиарембаза, д. 12",0.0,0.0
"г. Балашиха, ш. Балашихинское, д. 10",0.0,0.0
"г. Балашиха, ул. Гагарина, д. 7/4",0.0,0.0
"г. Балашиха, ул. Главная, д. 22Б",0.0,0.0
"г. Балашиха, мкр-н Саввино, ул. Пригородная, стр. 90",0.0,0.0
"г. Балашиха, мкр. Железнодорожный, ул. Пролетарская, д. 5",0.0,0.0
"г. Балашиха, ул. Рождественская, д. 3",0.0,0.0
"г. Балашиха, ул. Свердлова, д. 20, к. 1",0.0,0.0
"г. Балашиха, ул. Твардовского, д. 12, лит. А",0.0,0.0
"г. Балашиха, ш. Энтузиастов, д. 80",0.0,0.0
"г. Балашиха, ш. Энтузиастов, д. 11/4",0.0,0.0
"г. Балашиха, ш. Энтузиастов, д. 1Б",0.0,0.0
"г. Видное, ул. Березовая, д. 1А",0.0,0.0
"г. Видное, п. Расторгуево, ул. Булатниковская, д. 1Ю",0.0,0.0
"г. Видное, ул. Старо-Нагорная, д. 20",0.0,0.0
"г. Воскресенск, г. Белоозерский, ул. Коммунальная, д. 12",0.0,0.0
"г.о. Воскресенск, п. Виноградово, ул. Коммунистическая, стр. 1",0.0,0.0
"п. Воскресенское, пр-д Чечёрский, д. 51",0.0,0.0
"д. Говорово, МКАД 47-й км, стр. 1",0.0,0.0
"д. Голиково, пр-д Усковский, д. 2",0.0,0.0
"д. Голубое, ул. Трехсвятская, д. 1М",0.0,0.0
"г. Дмитров, ул. Бирлово Поле, д. 1",0.0,0.0
"г. Дмитров, ул. Советская, д. 5",0.0,0.0
"г.о. Дмитровский, с. Семеновское, c. 113",0.0,0.0
"г.о. Дмитровский, д. Целеево, ул. имени В. И. Барздо, д. 20",0.0,0.0
"г. Долгопрудный, ул. Дирижабельная, д. 23",0.0,0.0
"г. Долгопрудный, пр. Лихачёвский, д. 64",0.0,0.0
"г. Долгопрудный, ул. Московская, д. 58, к. 2",0.0,0.0
"г. Домодедово, ул. Кирова, стр. 28",0.0,0.0
"г. Домодедово, ул. Курыжова, д. 11",0.0,0.0
"г. Домодедово, ул. Лунная, д. 17, к. 1-3",0.0,0.0
"г. Егорьевск, ул. Советская, д. 157",0.0,0.0
"г. Егорьевск, ул. Советская, д. 4",0.0,0.0
"г. Жуковский, ул. Лацкова, д. 3",0.0,0.0
"г. Жуковский, ул. Набережная Циолковского, д. 21, лит. В",0.0,0.0
"г. Зеленоград, к. 117",0.0,0.0
"г. Зеленоград, пр. Георгиевский, д. 37, корп. 2",0.0,0.0
"г. Зеленоград, ул. Гоголя, д. 2",0.0,0.0
"г. Зеленоград, ул. Гоголя, к. 1006, лит. А",0.0,0.0
"г. Зеленоград, проезд Савёлкинский, д. 8",0.0,0.0
"г. Истра, ул. Московская, д. 61",0.0,0.0
"г. Истра, пос. Снегири, ул. Московская, д. 24",0.0,0.0
"г. Кашира, мкр. Ожерелье, ул. Ленина, д. 3, лит. А",0.0,0.0
"г. Кашира, ул. Садовая, д. 24",0.0,0.0
"г. Клин, ш. Ленинградское, д. 53а",0.0,0.0
"г. Коломна, ул. Астахова, д. 4, к. 4",0.0,0.0
"г. Коломна, ул. Дзержинского, д. 4",0.0,0.0
"г. Коломна, ул. Захарова, д. 10, к. 3",0.0,0.0
"г. Королев, пр. Королева, д. 5, лит. Д",0.0,0.0
"г. Королев, ул. Пионерская, д. 19, к. 3",0.0,0.0
"г. Королев, ул. Степана Разина, д. 8",0.0,0.0
"г. Котельники, мкр. Парковый, д. 1, к. 1",0.0,0.0
"г. Красногорск, ул. 50 лет Октября, д. 12",0.0,0.0
"г. Красногорск, ул. Б.Воскресенская , д. 1",0.0,0.0
"г. Красногорск, ш. Ильинское, д. 14, к. 1",0.0,0.0
"г. Красногорск, б-р Красногорский, д. 4",0.0,0.0
"г. Красногорск, ул. Ленина, д. 44А",0.0,0.0
"г.о. Красногорск, п. Отрадное, ул. Лесная, д. 17, лит. А",0.0,0.0
"г. Красногорск, б-р Павшинский, д. 16",0.0,0.0
"г. Красногорск, рп. Нахабино, ул. Советская, д. 73а",0.0,0.0
"г. Красногорск, рп. Нахабино, ул. Школьная, д. 2",0.0,0.0
"г. Лобня, ул. Батарейная, д. 6",0.0,0.0
"г. Лобня, ул. Ленина, д. 19",0.0,0.0
"д. Лопатино, б-р Солнечный, д. 2",0.0,0.0
"г. Луховицы, ул. Пушкина, д. 125, лит. Б",0.0,0.0
"г. Люберцы, ул. 3-е Почтовое отделение, д. 53А",0.0,0.0
"г. Люберцы, ул. 3-е Почтовое отделение, д. 100",0.0,0.0
"г. Люберцы, ул. Кирова, д. 4",0.0,0.0
"г. Люберцы, ул. Юбилейная, д. 2, лит. А",0.0,0.0
"п. Малаховка, ш. Красковское, д. 1А, стр. 1",0.0,0.0
"г. Московский, 1-й микрорайон, д. 158",0.0,0.0
"г. Московский, пос. Московский, ул. Московская, д. 3А",0.0,0.0
"г. Мытищи, ул. 1-я Пролетарская, стр. 12Б",0.0,0.0
"г. Мытищи, ул. 3-я Крестьянская, д. 23",0.0,0.0
"г. Мытищи, ул. Кадомцева, д. 2Б",0.0,0.0
"г. Мытищи, ул. Комарова, д. 3",0.0,0.0
"г. Мытищи, ул. Мира, д. 26А",0.0,0.0
"г.о. Мытищи, д. Пирогово, ул. Центральная, стр. 93",0.0,0.0
"г. Наро-Фоминск, пл. Свободы, д. 2",0.0,0.0
"г. Ногинск, пер. 1-й Текстильный, д. 1",0.0,0.0
"г. Ногинск, ул. 2-я Глуховская, д. 8, стр. 1-2",0.0,0.0
"г. Ногинск, ул. Ильича, д. 6",0.0,0.0
"г. Одинцово, пос. Горки-10, д. 27/1 ",0.0,0.0
"г. Одинцово, ул. Говорова, д. 24Б",0.0,0.0
"г. Одинцово, ш. Можайское, д. 1А",0.0,0.0
"г. Одинцово, ш. Можайское, д. 71",0.0,0.0
"г. Одинцово, ш. Можайское, д. 121",0.0,0.0
"г. Одинцово, ул. Северная , д. 13",0.0,0.0
"г. Одинцово, п. Трёхгорка, ул. Трёхгорная, д. 6",0.0,0.0
"г. Орехово-Зуево, ул. 1905 года, д. 11",0.0,0.0
"г. Орехово-Зуево, ул. Коминтерна, д. 1, лит. а",0.0,0.0
"г. Орехово-Зуево, ул. Ленина, д. 44А",0.0,0.0
"г. Павловский Посад, ул. Большая Покровская, д. 35",0.0,0.0
"г. Подольск, мкр. Климовск, ул. Циолковского, д. 20а",0.0,0.0
"г. Пушкино, ул. Просвещения, д. 10, к. 1",0.0,0.0
"г. Пушкино, ул. Чехова, д. 12",0.0,0.0
"г.о. Раменский, д. Трошково, ул. Шоссейная, стр. 45б",0.0,0.0
"г. Раменское, ул. Десантная, стр. 44, лит. В",0.0,0.0
"г. Реутов, МКАД 2-й км, д. 2",0.0,0.0
"г. Реутов, ул. Новая, д. 6",0.0,0.0
"г. Реутов, ш. Носовихинское, д. 7",0.0,0.0
"г. Реутов, пр. Юбилейный, д. 2А",0.0,0.0
"г. Руза, Территория Микрорайон, д. 9а",0.0,0.0
"г.о. Рузский, п. Дорохово, ул. Невкипелого, д. 6а",0.0,0.0
"г.о. Рузский, рп. Тучково, ул. Партизан, д. 6",0.0,0.0
"р.п. Селятино, ул. Больничная, д. 10",0.0,0.0
"г. Селятино, ул. Спортивная, д. 1",0.0,0.0
"г. Сергиев Посад, пр. Красной Армии, д. 232, А",0.0,0.0
"г. Сергиев Посад, ш. Новоугличское, д. 85",0.0,0.0
"г. Серпухов, д. Борисово, д. 111А",0.0,0.0
"г. Серпухов, д. Дашковка, д. 94, лит. б",0.0,0.0
"г. Серпухов, ул. Водонапорная, д. 38",0.0,0.0
"г. Серпухов, ул. Ворошилова, д. 139",0.0,0.0
"г. Солнечногорск, ул. Банковская, д. 17/1",0.0,0.0
"городской округ Солнечногорск, ш. М-10 Россия, 35-й километр, стр. 20/2",0.0,0.0
"г. Солнечногорск, ул. Молодежная, стр. 2А",0.0,0.0
"г. Солнечногорск, д. Юрлово, ул. Солнечная, стр. 80",0.0,0.0
"пос. Сосенское, пр. Магеллана, 1",0.0,0.0
"пос. Сосенское, б-р Скандинавский, д. 2, к. 8",0.0,0.0
"с. Тарасовка, ул. Б. Тарасовская, влд. 6",0.0,0.0
"г. Троицк, Калужское ш., 42-й км, д. 6",0.0,0.0
"г. Фрязино, ул. 60 Лет СССР, д. 10",0.0,0.0
"г. Фрязино, пр. Мира, д. 18",0.0,0.0
"г. Химки, ул. Мельникова, д. 27, к. 1",0.0,0.0
"г. Химки, пр. Юбилейный , д. 88",0.0,0.0
"г. Хотьково, ул. Майолик, д. 19г",0.0,0.0
"г. Чехов, ул. Лопасненская, д. 8",0.0,0.0
"г. Чехов, ул. Полиграфистов, д. 21/1",0.0,0.0
"д. Шолохово, ш. Дмитровское, стр. 10",0.0,0.0
"г. Щёлково, ул. Сиреневая, д. 9",0.0,0.0
"г. Электросталь, ул. Спортивная, д. 20",0.0,0.0
"г. Электроугли, ул. Школьная, д. 24",0.0,0.0
